trial,completed,success,success_time_s,termination_reason,num_cycles,effective_observation_hz,overall_rms_jerk_rad_s3,rms_velocity_rad_s,rms_acceleration_rad_s2,joint_path_length_rad,urdf_violation_joint_count,urdf_violation_cycle_count,urdf_violation_cycle_rate,max_urdf_violation_deg,mean_urdf_violation_deg_over_violations,step_clamp_joint_count,step_clamp_cycle_count,step_clamp_cycle_rate,mean_safety_correction_deg,max_safety_correction_deg,mean_safety_correction_l2_deg,gripper_hard_clamp_count,gripper_step_clamp_count,shoulder_pan_rms_jerk_rad_s3,shoulder_pan_urdf_violation_count,shoulder_pan_step_clamp_count,shoulder_lift_rms_jerk_rad_s3,shoulder_lift_urdf_violation_count,shoulder_lift_step_clamp_count,elbow_flex_rms_jerk_rad_s3,elbow_flex_urdf_violation_count,elbow_flex_step_clamp_count,wrist_flex_rms_jerk_rad_s3,wrist_flex_urdf_violation_count,wrist_flex_step_clamp_count,wrist_roll_rms_jerk_rad_s3,wrist_roll_urdf_violation_count,wrist_roll_step_clamp_count
1,True,False,,duration_elapsed,781,26.04029945448369,257.8439203956282,0.241506083392484,5.539122888630352,11.968433146816631,3,3,0.0038412291933418692,0.32447052001953125,0.16963958740234375,982,647,0.8284250960307298,5.554706851895731,85.43124389648438,20.706993926789597,251,17,202.51224132990995,0,0,439.80218843256455,3,522,188.76114073724014,0,439,155.70348848368482,0,16,195.2073743688645,0,5
2,True,False,,duration_elapsed,787,26.22154842368835,261.87752507207625,0.2047313803123922,5.660646644014199,9.137408417869784,3,3,0.0038119440914866584,0.13436126708984375,0.10968780517578125,588,401,0.5095298602287166,2.4654452351784615,83.71269989013672,9.054546545697786,98,0,194.7908741769388,0,0,515.1751189603402,3,354,161.2309278251157,0,234,51.4238389742259,0,0,104.45324087249978,0,0
3,True,False,,duration_elapsed,788,26.246462975965414,241.47822224320268,0.21718974587494738,5.176968857172599,9.238067668375049,110,110,0.13959390862944163,1.7784652709960938,0.5744697570800781,781,431,0.5469543147208121,2.4642437213265955,53.33690643310547,9.421426661702482,345,40,277.0341477945379,0,46,316.6997608089363,93,300,159.34079144236787,0,348,204.4559169332362,17,43,217.53227751649652,0,44
4,True,False,,duration_elapsed,789,26.290375214052357,367.34098400965786,0.26213016560241625,7.921749325537929,12.853772432384137,22,22,0.02788339670468948,1.1777725219726562,0.36407331986860797,761,515,0.6527249683143219,2.5060123129338217,59.918216705322266,9.532169985671183,700,0,455.5622793465457,0,3,548.8994917434147,22,387,211.39015346669942,0,355,210.2197398863644,0,16,277.47290722835186,0,0
5,True,False,,duration_elapsed,789,26.276578241041097,296.1185263279657,0.22355605249656996,6.637424175882219,10.297632250213727,33,33,0.04182509505703422,1.325531005859375,0.45467399828361743,601,413,0.523447401774398,1.6461258708146438,49.73543167114258,6.145902897742224,24,0,332.94573731175535,0,0,488.68134874484554,33,329,161.06608089796828,0,269,103.25744478923252,0,3,228.39483629856537,0,0
6,True,False,,duration_elapsed,788,26.23362097541977,180.63188765415086,0.10228741444585297,3.72785043871045,2.552371903548728,174,174,0.22081218274111675,1.8739395141601562,0.3956390468553565,85,70,0.08883248730964467,0.09865432003427883,12.101455688476562,0.4526267190335755,28,0,133.73082999791288,0,0,342.57922913420884,174,35,128.4518002861025,0,50,87.02535630800472,0,0,61.81952300134266,0,0
7,True,False,,duration_elapsed,789,26.2885997265226,298.6604383576488,0.2609694664100495,6.287066287902153,12.490186956774984,0,0,0.0,0.0,0.0,950,529,0.670468948035488,3.261010190546135,70.39384460449219,11.900978657262396,54,84,227.369696050148,0,1,368.1243827777107,0,252,176.3391295735106,0,431,381.6808216947212,0,138,286.3599292048497,0,128
8,True,False,,duration_elapsed,788,26.257554816936338,267.4288065009153,0.22232903336014212,5.638741788863532,9.816520042277826,1,1,0.0012690355329949238,0.251556396484375,0.251556396484375,745,469,0.5951776649746193,2.6954435222645095,61.84099578857422,10.311439875360849,16,14,161.97417993359,0,0,467.9104130585153,1,376,172.22506544843708,0,308,222.73137651231468,0,32,182.0557713091823,0,29
9,True,False,,duration_elapsed,788,26.234315188407322,190.66914108998833,0.12010953515965861,3.895134556590336,2.9697934980356893,212,212,0.26903553299492383,1.415679931640625,0.3530693414076319,170,119,0.15101522842639595,0.5780449930181358,55.73804473876953,2.1419595035505345,1,0,82.77599165660332,0,0,391.55695775458963,212,100,142.5459401817787,0,70,28.287564435271563,0,0,22.03087595214715,0,0
10,True,False,,duration_elapsed,787,26.216154766004056,244.38573695208697,0.19096734557559755,5.241192968503495,7.992883008089515,4,4,0.005082592121982211,0.1907196044921875,0.11698150634765625,526,352,0.44726810673443457,2.20107601994632,69.36871337890625,8.051207307226608,119,0,162.286609053737,0,0,485.8756920067603,4,324,152.9679466050886,0,202,59.99075743959098,0,0,95.97774169103715,0,0
