trial,completed,success,success_time_s,termination_reason,num_cycles,effective_observation_hz,overall_rms_jerk_rad_s3,rms_velocity_rad_s,rms_acceleration_rad_s2,joint_path_length_rad,urdf_violation_joint_count,urdf_violation_cycle_count,urdf_violation_cycle_rate,max_urdf_violation_deg,mean_urdf_violation_deg_over_violations,step_clamp_joint_count,step_clamp_cycle_count,step_clamp_cycle_rate,mean_safety_correction_deg,max_safety_correction_deg,mean_safety_correction_l2_deg,gripper_hard_clamp_count,gripper_step_clamp_count,shoulder_pan_rms_jerk_rad_s3,shoulder_pan_urdf_violation_count,shoulder_pan_step_clamp_count,shoulder_lift_rms_jerk_rad_s3,shoulder_lift_urdf_violation_count,shoulder_lift_step_clamp_count,elbow_flex_rms_jerk_rad_s3,elbow_flex_urdf_violation_count,elbow_flex_step_clamp_count,wrist_flex_rms_jerk_rad_s3,wrist_flex_urdf_violation_count,wrist_flex_step_clamp_count,wrist_roll_rms_jerk_rad_s3,wrist_roll_urdf_violation_count,wrist_roll_step_clamp_count
1,True,False,,duration_elapsed,781,26.032695099655005,210.29297443692465,0.17166222682842383,4.488757193538547,7.219409375978058,59,59,0.07554417413572344,1.6736373901367188,0.46456146240234375,606,415,0.5313700384122919,2.5216054362005216,69.33509063720703,9.28680994877383,268,0,141.51260421643076,0,0,413.70623612868707,59,370,139.4232642814294,0,236,54.185938587527666,0,0,86.96002507050909,0,0
2,True,False,,duration_elapsed,789,26.271698796875466,239.97062402021186,0.21995357772806423,5.014182568882211,10.011041066718686,47,47,0.059569074778200254,1.5903396606445312,0.8808903795607547,960,530,0.6717363751584284,4.139699675359956,68.58895111083984,15.206599943819983,159,54,206.55746627262812,0,18,335.10295902289863,22,402,157.50261124443227,0,399,235.441580502303,25,94,229.62950935396367,0,47
3,True,False,,duration_elapsed,789,26.26712107827449,228.29274133039107,0.14999948565434348,4.623330002733836,4.941682657616465,192,192,0.24334600760456274,1.9785232543945312,0.5023483832677206,358,254,0.32192648922686945,1.3495794424388194,74.02503204345703,5.022057104225811,6,0,88.93090043171671,0,0,477.3665707693184,192,220,131.121919737638,0,138,48.65073760347086,0,0,72.39115053668016,0,0
4,True,False,,duration_elapsed,788,26.237670962649627,223.74729912779168,0.16774243583562523,4.754856229877557,6.6230505886214,4,4,0.005076142131979695,0.1270294189453125,0.06721687316894531,474,325,0.41243654822335024,1.7589712559269164,62.93307113647461,6.480483094718447,40,0,156.69128406507974,0,0,444.99205582172226,4,282,133.2557351049809,0,192,42.030565485631065,0,0,90.6670927905504,0,0
5,True,False,,duration_elapsed,788,26.24474321620679,255.11228202548918,0.18698106964609162,5.473248204921313,7.842588278144969,0,0,0.0,0.0,0.0,589,405,0.5139593908629442,1.7345128199775812,57.819183349609375,6.6008885863895275,57,0,209.7131692554764,0,0,492.6938698138149,0,306,143.27335007681418,0,274,106.84974611185677,0,9,82.09992937617862,0,0
6,True,False,,duration_elapsed,788,26.243560781338335,266.2223333618624,0.2007141331597056,5.68605016759598,8.455566341481163,1,1,0.0012690355329949238,0.02178192138671875,0.02178192138671875,672,443,0.5621827411167513,2.3898440305351607,55.1597785949707,9.231419189560746,40,0,210.60789404971206,0,1,485.1934020755651,1,330,150.7896451023558,0,334,161.83225235662104,0,4,160.23774984861083,0,3
7,True,False,,duration_elapsed,788,26.254716545005255,237.35225882673882,0.22252026587572984,4.979803766955916,10.632184874069264,5,5,0.006345177664974619,0.30733489990234375,0.13619232177734375,1122,621,0.7880710659898477,3.8100757746148837,73.70861053466797,14.813610608022387,75,94,266.9133931777388,0,42,216.96835028271326,0,374,200.91751048203346,0,456,177.38426657156595,5,26,302.5383038943818,0,224
8,True,False,,duration_elapsed,789,26.279525689647873,206.41868028439202,0.15488186834489756,4.509239168113708,5.851603643356238,0,0,0.0,0.0,0.0,367,266,0.33713561470215464,0.7022519284479216,37.11545944213867,2.8009489073609615,9,0,161.783317033188,0,0,384.14910249936935,0,177,135.72068866964668,0,190,117.43574917261031,0,0,84.18861391971524,0,0
9,True,False,,duration_elapsed,788,26.257799429255556,254.05587297216684,0.2438961137085179,5.329420868379591,11.292333452456484,48,48,0.06091370558375635,0.9871139526367188,0.3098915417989095,944,502,0.6370558375634517,3.237440772952162,78.93090057373047,11.79016868425713,72,112,126.98025671761725,0,0,309.61317721040683,12,255,182.90659694469565,0,398,340.40598762254155,36,197,247.80348715199085,0,94
10,True,False,,duration_elapsed,788,26.25756875507197,187.76192488028386,0.16723610108810713,3.907633088266508,6.025442441958841,20,20,0.025380710659898477,0.8578872680664062,0.23755149841308593,447,293,0.37182741116751267,1.8617880608224626,64.40655517578125,7.236794481874887,72,18,128.85168505356216,0,0,338.0761823889072,20,230,140.53859466009777,0,194,101.3039442785419,0,20,123.93891486745207,0,3
