trial,completed,success,success_time_s,termination_reason,num_cycles,effective_observation_hz,overall_rms_jerk_rad_s3,rms_velocity_rad_s,rms_acceleration_rad_s2,joint_path_length_rad,urdf_violation_joint_count,urdf_violation_cycle_count,urdf_violation_cycle_rate,max_urdf_violation_deg,mean_urdf_violation_deg_over_violations,step_clamp_joint_count,step_clamp_cycle_count,step_clamp_cycle_rate,mean_safety_correction_deg,max_safety_correction_deg,mean_safety_correction_l2_deg,gripper_hard_clamp_count,gripper_step_clamp_count,shoulder_pan_rms_jerk_rad_s3,shoulder_pan_urdf_violation_count,shoulder_pan_step_clamp_count,shoulder_lift_rms_jerk_rad_s3,shoulder_lift_urdf_violation_count,shoulder_lift_step_clamp_count,elbow_flex_rms_jerk_rad_s3,elbow_flex_urdf_violation_count,elbow_flex_step_clamp_count,wrist_flex_rms_jerk_rad_s3,wrist_flex_urdf_violation_count,wrist_flex_step_clamp_count,wrist_roll_rms_jerk_rad_s3,wrist_roll_urdf_violation_count,wrist_roll_step_clamp_count
1,True,False,,duration_elapsed,777,25.88017590711766,330.9125944863499,0.270039496724304,7.178487319138679,13.550121829987784,0,0,0.0,0.0,0.0,945,599,0.7709137709137709,3.3646397088638755,49.16689682006836,13.016820190905806,295,0,321.63199852517823,0,8,560.2738103992974,0,485,218.1189496225727,0,402,109.17090824051913,0,0,265.833928352411,0,50
2,True,False,,duration_elapsed,783,26.076101456527958,275.2756424597471,0.2389919557414241,5.829753215825205,11.293251368093074,9,9,0.011494252873563218,0.5418319702148438,0.29901123046875,849,527,0.6730523627075351,2.644766516376425,78.59598541259766,10.565611040564916,77,85,273.48332792694475,0,28,318.2876281003167,0,389,186.3655533450084,0,231,274.3185176091107,9,38,304.63171736632864,0,163
3,True,False,,duration_elapsed,782,26.05641541765202,227.02477237451646,0.20888272368783967,4.799158015545558,9.226811339906387,2,2,0.0025575447570332483,0.21820831298828125,0.20807266235351562,736,470,0.6010230179028133,2.013719338140524,45.262176513671875,8.07055409765371,51,181,206.58951616647408,0,16,239.56551852194195,2,390,155.27783772364396,0,169,251.893821099556,0,79,264.7048668000926,0,82
4,True,False,,duration_elapsed,782,26.05174067610314,273.1801394942724,0.23297099027931084,5.676434127974862,10.436592698500805,0,0,0.0,0.0,0.0,875,527,0.6739130434782609,2.2948326015411435,62.68539810180664,8.543931920851923,59,111,262.9763382655078,0,28,320.8690270582439,0,392,204.26228940963838,0,311,330.1486199899919,0,118,224.28165752363472,0,26
5,True,False,,duration_elapsed,783,26.091122914684888,272.8066654498961,0.2485223979012656,5.847233006077727,11.370316708674665,0,0,0.0,0.0,0.0,828,517,0.6602809706257982,2.881045541361374,62.53676986694336,10.691571698309788,154,57,188.8923403568153,0,1,465.1324287445988,0,385,198.14202425554564,0,354,192.2354789699926,0,74,209.4615714235568,0,14
6,True,False,,duration_elapsed,782,26.03371128559021,265.5201534294748,0.24324257210186717,5.599247118085823,11.548763955080908,1,1,0.0012787723785166241,0.0396728515625,0.0396728515625,835,545,0.69693094629156,3.699408696069742,69.66050720214844,13.849540533428716,64,41,158.02018363856652,0,0,512.3731177269982,1,493,194.04038259484886,0,298,105.13392924749985,0,44,127.68459587215453,0,0
7,True,False,,duration_elapsed,783,26.075373952062893,269.6224494355726,0.23910529771667163,5.654952683578863,10.642177195898451,0,0,0.0,0.0,0.0,716,435,0.5555555555555556,1.744056458552374,45.2510986328125,6.716935916434938,18,44,157.6678130881469,0,1,468.69078611687115,0,329,190.37157951354547,0,288,218.8326462914747,0,57,186.60672162043826,0,41
8,True,False,,duration_elapsed,783,26.082059462569127,329.44314434483005,0.2472742235351018,7.122223887239849,11.834944630969858,0,0,0.0,0.0,0.0,679,463,0.5913154533844189,2.27398102274343,58.19841003417969,8.646104715455289,113,0,359.5974200297464,0,2,560.9539444385164,0,377,206.95250065343527,0,300,81.16448048903767,0,0,221.96234835236706,0,0
9,True,False,,duration_elapsed,783,26.08953902549263,335.4134577210675,0.2416112222657627,7.027836902992839,10.756504254157342,3,3,0.0038314176245210726,0.5702896118164062,0.27374013264973956,637,438,0.5593869731800766,2.146849760394139,54.57206726074219,8.012398562735175,0,0,218.33921818108044,0,3,670.6086626367115,3,373,219.0741207987706,0,261,57.296468593550884,0,0,117.67153345495628,0,0
10,True,False,,duration_elapsed,782,26.057599740579647,249.23139126355284,0.21148106889126256,5.169959097953255,8.878229013521805,6,6,0.0076726342710997444,0.368011474609375,0.17494837443033853,530,360,0.46035805626598464,1.9900381390700865,61.347679138183594,7.587671845680881,2,48,154.6165302888858,0,3,436.3004618602416,6,250,166.88975599855337,0,228,202.49671106255622,0,49,165.7104669276744,0,0
