trial,completed,success,success_time_s,termination_reason,num_cycles,effective_observation_hz,overall_rms_jerk_rad_s3,rms_velocity_rad_s,rms_acceleration_rad_s2,joint_path_length_rad,urdf_violation_joint_count,urdf_violation_cycle_count,urdf_violation_cycle_rate,max_urdf_violation_deg,mean_urdf_violation_deg_over_violations,step_clamp_joint_count,step_clamp_cycle_count,step_clamp_cycle_rate,mean_safety_correction_deg,max_safety_correction_deg,mean_safety_correction_l2_deg,gripper_hard_clamp_count,gripper_step_clamp_count,shoulder_pan_rms_jerk_rad_s3,shoulder_pan_urdf_violation_count,shoulder_pan_step_clamp_count,shoulder_lift_rms_jerk_rad_s3,shoulder_lift_urdf_violation_count,shoulder_lift_step_clamp_count,elbow_flex_rms_jerk_rad_s3,elbow_flex_urdf_violation_count,elbow_flex_step_clamp_count,wrist_flex_rms_jerk_rad_s3,wrist_flex_urdf_violation_count,wrist_flex_step_clamp_count,wrist_roll_rms_jerk_rad_s3,wrist_roll_urdf_violation_count,wrist_roll_step_clamp_count
1,True,False,,duration_elapsed,776,25.859496085470553,255.60357676513402,0.2227648338380554,5.362953256816322,10.31377832245601,1,1,0.001288659793814433,0.00052642822265625,0.00052642822265625,793,502,0.6469072164948454,2.7466186344009085,68.4004898071289,11.0703701207925,35,89,234.45875608971014,0,10,336.99083410979443,1,367,181.1984645665567,0,257,257.1916665846216,0,15,243.21137878941184,0,144
2,True,False,,duration_elapsed,783,26.069626077543962,256.20253665571806,0.2177398888586494,5.3298018957286635,10.086953824913826,16,16,0.020434227330779056,0.6108856201171875,0.26190853118896484,862,527,0.6730523627075351,2.7529587086742104,80.38245391845703,10.799210736881895,74,115,266.3463039944938,0,12,352.98918157796254,8,410,171.4276361747792,0,287,193.34765567346912,8,16,256.68313653728177,0,137
3,True,False,,duration_elapsed,783,26.081718601201914,254.15035561580544,0.22092950369075745,5.33259605608729,10.012697287656978,49,49,0.06257982120051085,2.605926513671875,0.9664459228515625,862,517,0.6602809706257982,2.8429895544113024,67.70639038085938,11.276045676903578,73,146,265.5021481391341,0,39,261.3382491458623,1,427,213.80271161486073,0,252,268.54725385777834,48,39,257.5727433496426,0,105
4,True,True,21.16494990105275,success_confirmed,553,26.082480119724124,309.40915670156295,0.27726312643355283,6.360843661784021,9.681839952071453,57,57,0.10326086956521739,2.9090652465820312,1.5129545780650355,762,396,0.717391304347826,5.093861355038657,69.01564025878906,19.595842520458405,124,58,319.024466359933,0,44,344.8931300034672,1,267,205.25381388986824,0,231,297.55563965290736,56,57,356.7544858701086,0,163
5,True,False,,duration_elapsed,784,26.12234270441782,249.54411840537085,0.23939493462445913,5.257134276020745,11.37186771961592,10,10,0.012755102040816327,0.14992523193359375,0.07107772827148437,996,573,0.7308673469387755,4.0889051713885705,78.98603820800781,15.805388246522059,80,189,276.55720391721496,0,36,249.35106641719085,0,454,148.50607778647256,0,230,214.4155083383338,10,31,323.5327316302978,0,245
6,True,False,,duration_elapsed,782,26.033501278880674,228.00277062093375,0.19692672046738788,4.82364912231615,8.604640135561295,2,2,0.0025575447570332483,0.2041473388671875,0.19364547729492188,616,378,0.4833759590792839,1.7501646351326456,63.027748107910156,6.417153644538819,51,178,149.5830785659333,0,0,266.65374289267396,2,243,158.500473576337,0,246,287.7238821700164,0,55,241.9495165675423,0,72
7,True,True,23.731746903969906,success_confirmed,622,26.16906317375308,263.1145481128762,0.23250140434502617,5.488878730677674,8.409115235903876,27,27,0.043478260869565216,1.2293548583984375,0.37368124502676503,711,424,0.6827697262479872,2.5890921953603647,69.02590942382812,9.822633332097665,33,91,256.81134957648726,0,25,336.27098271384784,0,287,167.82188812025103,0,299,308.69809915282667,27,82,208.9434887804999,0,18
8,True,True,20.991310868994333,success_confirmed,548,26.060073773663884,255.1623057355199,0.24222065162464382,5.2913613540321816,7.830464161295464,14,14,0.025594149908592323,1.7920303344726562,0.9519604274204799,633,312,0.5703839122486288,3.087342164655926,66.61642456054688,10.977234948256365,46,92,242.57709576804166,0,17,268.1291680607869,0,229,158.1255260421188,0,247,325.8345392677167,14,88,252.2504394826806,0,52
9,True,True,27.486033271998167,success_confirmed,721,26.196380597354544,253.21590568910813,0.22355168701405276,5.24679872926904,8.190482355328008,100,100,0.1388888888888889,1.3191986083984375,0.43215003967285154,635,327,0.45416666666666666,2.6863568498359784,63.220245361328125,9.75792948967794,81,36,161.17673447454723,0,41,375.3022465926208,74,200,138.534836768407,0,269,262.62610941371986,26,68,256.1198627443663,0,57
10,True,False,,duration_elapsed,783,26.08157388054033,247.60947872121008,0.20763248591747013,5.199761592315978,9.070288517928502,0,0,0.0,0.0,0.0,701,454,0.5798212005108557,2.2139781061412425,66.84571838378906,8.303866264655023,36,182,230.56363161150912,0,0,250.31189977523178,0,331,174.95308822942906,0,240,267.1012795254349,0,68,297.9680482314078,0,62
