version,trial,engaged
Ours,1,True
Ours,2,True
Ours,3,True
Ours,4,True
Ours,5,True
Ours,6,True
Ours,7,True
Ours,8,True
Ours,9,True
Ours,10,True
Ours,11,True
Ours,12,True
Ours,13,True
Ours,14,True
Ours,15,True
Ours,16,True
Ours,17,True
Ours,18,False
Ours,19,False
Ours,20,True
Ours,21,True
Ours,22,True
Ours,23,True
Ours,24,True
Ours,25,True
Ours,26,True
Ours,27,True
Ours,28,True
Ours,29,False
Ours,30,False
Ours,31,False
Ours,32,True
Ours,33,True
Ours,34,True
Baseline,1,False
Baseline,2,True
Baseline,3,False
Baseline,4,False
Baseline,5,False
Baseline,6,True
Baseline,7,True
Baseline,8,False
Baseline,9,True
Baseline,10,True
Baseline,11,False
Baseline,12,False
Baseline,13,False
Baseline,14,True
Baseline,15,False
Baseline,16,False
Baseline,17,False
Baseline,18,False
Baseline,19,False
Baseline,20,False
Baseline,21,True
Baseline,22,False
Baseline,23,True
Baseline,24,True
Baseline,25,False
Baseline,26,False
Baseline,27,True
Baseline,28,True
Baseline,29,False
Baseline,30,False
Baseline,31,False
Baseline,32,False
Baseline,33,False
Baseline,34,False
