model,color,scene,condition,trial_number,trajectory_csv,active_motion_fraction,max_displacement_from_start_rad,progress_efficiency,endpoint_directness
Ours,pink,solo,pink_solo,1,trajectory_results/Ours_20k_b64_pink_solo_n30/trial_001_trajectory.csv,0.9393548387096774,3.945332736892443,0.4158422479502319,0.41412132152718956
Ours,pink,solo,pink_solo,2,trajectory_results/Ours_20k_b64_pink_solo_n30/trial_002_trajectory.csv,0.9347826086956522,3.946080500677373,0.42494731084417525,0.42494731084417525
Ours,pink,solo,pink_solo,3,trajectory_results/Ours_20k_b64_pink_solo_n30/trial_003_trajectory.csv,0.9335038363171355,3.638221759193797,0.39504139699059954,0.3788360997981827
Ours,pink,solo,pink_solo,4,trajectory_results/Ours_20k_b64_pink_solo_n30/trial_004_trajectory.csv,0.9764492753623188,3.1143152152654143,0.3487006355222023,0.30770576288030477
Ours,pink,solo,pink_solo,5,trajectory_results/Ours_20k_b64_pink_solo_n30/trial_005_trajectory.csv,0.9361430395913155,3.7782772325776293,0.3542950432599401,0.29732654425948424
Ours,pink,solo,pink_solo,6,trajectory_results/Ours_20k_b64_pink_solo_n30/trial_006_trajectory.csv,0.9052496798975672,3.2671530366283403,0.41559452445532186,0.41559452445532186
Ours,pink,solo,pink_solo,7,trajectory_results/Ours_20k_b64_pink_solo_n30/trial_007_trajectory.csv,0.9339774557165862,3.3020938269174422,0.4244140979072123,0.3936526312140565
Ours,pink,solo,pink_solo,8,trajectory_results/Ours_20k_b64_pink_solo_n30/trial_008_trajectory.csv,0.9451553930530164,3.322953809387225,0.4523144867827609,0.45154702263974567
Ours,pink,solo,pink_solo,9,trajectory_results/Ours_20k_b64_pink_solo_n30/trial_009_trajectory.csv,0.6736111111111112,2.7803515647757324,0.3644570027228803,0.33050827986939335
Ours,pink,solo,pink_solo,10,trajectory_results/Ours_20k_b64_pink_solo_n30/trial_010_trajectory.csv,0.9245524296675192,3.2392526590901984,0.3941163091541919,0.39086443440994445
Ours,black,solo,black_solo,1,trajectory_results/Ours_20k_b64_black_solo_n30/trial_001_trajectory.csv,0.9819587628865979,2.3845686208544055,0.20135075609851252,0.20135075609851252
Ours,black,solo,black_solo,2,trajectory_results/Ours_20k_b64_black_solo_n30/trial_002_trajectory.csv,0.969309462915601,3.588069876193956,0.34698163842340685,0.30171714745439154
Ours,black,solo,black_solo,3,trajectory_results/Ours_20k_b64_black_solo_n30/trial_003_trajectory.csv,0.9218950064020487,2.80551448280718,0.3288725187302709,0.32398147832060065
Ours,black,solo,black_solo,4,trajectory_results/Ours_20k_b64_black_solo_n30/trial_004_trajectory.csv,0.9475032010243278,2.805092109021068,0.29281803939005596,0.26306878543651246
Ours,black,solo,black_solo,5,trajectory_results/Ours_20k_b64_black_solo_n30/trial_005_trajectory.csv,0.9156010230179028,1.721347480224568,0.16322190050264776,0.07000548553038517
Ours,black,solo,black_solo,6,trajectory_results/Ours_20k_b64_black_solo_n30/trial_006_trajectory.csv,0.939820742637644,1.4044611462084142,0.12749068501248914,0.1078701747799845
Ours,black,solo,black_solo,7,trajectory_results/Ours_20k_b64_black_solo_n30/trial_007_trajectory.csv,0.8631713554987213,1.8001136070517536,0.1812404803059488,0.06810589957248037
Ours,black,solo,black_solo,8,trajectory_results/Ours_20k_b64_black_solo_n30/trial_008_trajectory.csv,0.9565217391304348,0.8748608926766428,0.0884895988029856,0.032587378753316944
Ours,black,solo,black_solo,9,trajectory_results/Ours_20k_b64_black_solo_n30/trial_009_trajectory.csv,0.9271099744245525,0.5126915097139851,0.053665871407936966,0.027745111456638567
Ours,black,solo,black_solo,10,trajectory_results/Ours_20k_b64_black_solo_n30/trial_010_trajectory.csv,0.8028169014084507,1.7617127009475533,0.21566531890220558,0.04961679634136257
Ours,pink,both,pink_both,1,trajectory_results/Ours_20k_b64_pink_both_n30/trial_001_trajectory.csv,0.9523195876288659,3.7040652871590334,0.37765538995539033,0.3729556521981308
Ours,pink,both,pink_both,2,trajectory_results/Ours_20k_b64_pink_both_n30/trial_002_trajectory.csv,0.8900255754475703,3.1568353919681442,0.3756411393661297,0.3756411393661297
Ours,pink,both,pink_both,3,trajectory_results/Ours_20k_b64_pink_both_n30/trial_003_trajectory.csv,0.8079385403329066,2.0441699840434695,0.23386087556767166,0.22187308913119236
Ours,pink,both,pink_both,4,trajectory_results/Ours_20k_b64_pink_both_n30/trial_004_trajectory.csv,0.9296675191815856,3.163934489427709,0.3589777927359004,0.3584766597568606
Ours,pink,both,pink_both,5,trajectory_results/Ours_20k_b64_pink_both_n30/trial_005_trajectory.csv,0.9706257982120051,3.8467086138766353,0.38160841958156017,0.37362453613689034
Ours,pink,both,pink_both,6,trajectory_results/Ours_20k_b64_pink_both_n30/trial_006_trajectory.csv,0.7442455242966752,3.4646176055577094,0.4161866818745223,0.37968073244562844
Ours,pink,both,pink_both,7,trajectory_results/Ours_20k_b64_pink_both_n30/trial_007_trajectory.csv,0.9425287356321839,2.958981635875857,0.2868085640985709,0.1327972394077827
Ours,pink,both,pink_both,8,trajectory_results/Ours_20k_b64_pink_both_n30/trial_008_trajectory.csv,0.9706257982120051,3.4767158520053885,0.30856707355264634,0.2840470443542945
Ours,pink,both,pink_both,9,trajectory_results/Ours_20k_b64_pink_both_n30/trial_009_trajectory.csv,0.69693094629156,0.29178825039834344,0.051932697429677446,0.03468144659338497
Ours,pink,both,pink_both,10,trajectory_results/Ours_20k_b64_pink_both_n30/trial_010_trajectory.csv,0.8642765685019206,0.6942057795872182,0.08094532672969178,0.05254146285618109
Ours,black,both,black_both,1,trajectory_results/Ours_20k_b64_black_both_n30/trial_001_trajectory.csv,0.970360824742268,0.6656059677201883,0.06574457699372827,0.0530181519167775
Ours,black,both,black_both,2,trajectory_results/Ours_20k_b64_black_both_n30/trial_002_trajectory.csv,0.9820742637644047,3.8422443785291223,0.35188341348650887,0.33406675194700897
Ours,black,both,black_both,3,trajectory_results/Ours_20k_b64_black_both_n30/trial_003_trajectory.csv,0.962532299741602,3.606911832960223,0.3908980281477431,0.3764651715382349
Ours,black,both,black_both,4,trajectory_results/Ours_20k_b64_black_both_n30/trial_004_trajectory.csv,0.967989756722151,3.265823674239156,0.3157233446236335,0.28782231235176964
Baseline,pink,solo,pink_solo,1,trajectory_results/Baseline_20k_b64_pink_solo_n30/trial_001_trajectory.csv,0.7846153846153846,0.23532208083758444,0.034667803003699094,0.028194136879602774
Baseline,pink,solo,pink_solo,2,trajectory_results/Baseline_20k_b64_pink_solo_n30/trial_002_trajectory.csv,0.8578680203045685,2.66957877773166,0.2858298465624328,0.283589249570398
Baseline,pink,solo,pink_solo,3,trajectory_results/Baseline_20k_b64_pink_solo_n30/trial_003_trajectory.csv,0.5406091370558376,0.209466238956425,0.04534959886320491,0.017827504059503663
Baseline,pink,solo,pink_solo,4,trajectory_results/Baseline_20k_b64_pink_solo_n30/trial_004_trajectory.csv,0.7255400254129606,0.2645875952074077,0.04368021728397632,0.021415214598677262
Baseline,pink,solo,pink_solo,5,trajectory_results/Baseline_20k_b64_pink_solo_n30/trial_005_trajectory.csv,0.806861499364676,0.3858624753005999,0.055851205658809286,0.018996604451772526
Baseline,pink,solo,pink_solo,6,trajectory_results/Baseline_20k_b64_pink_solo_n30/trial_006_trajectory.csv,0.772554002541296,1.655764870297853,0.22035732318413886,0.21593539871348244
Baseline,pink,solo,pink_solo,7,trajectory_results/Baseline_20k_b64_pink_solo_n30/trial_007_trajectory.csv,0.9542566709021602,4.033310356226584,0.4049621665130878,0.34976887941157936
